id,subject_user,recommendation_time,clicked_user,click_time
51,17bd778759adcf55b45b130e81cfbc26,"14:06 20 Apr 2018",,
52,17bd778759adcf55b45b130e81cfbc26,"14:07 20 Apr 2018",,
53,de22099e51d6eb1d55f24b005202f343,"15:14 20 Apr 2018",,
54,59ec046ffbc7e5695cdced9302a5ed29,"16:02 20 Apr 2018",,
55,c0b6791c297c8850e2051f32e27c23d4,"16:30 20 Apr 2018",,
56,1e5bb60603c30f772778fce82654c583,"16:34 20 Apr 2018",,
57,1e5bb60603c30f772778fce82654c583,"16:36 20 Apr 2018",,
58,c0b6791c297c8850e2051f32e27c23d4,"16:44 20 Apr 2018",,
59,1ffd0699e1fb3124d5ec97958f0c9515,"16:44 20 Apr 2018",,
60,c0b6791c297c8850e2051f32e27c23d4,"16:47 20 Apr 2018",,
61,1ffd0699e1fb3124d5ec97958f0c9515,"16:47 20 Apr 2018",,
62,950c8148b4c7703590bbe92d54ca1ef7,"18:03 20 Apr 2018",,
63,950c8148b4c7703590bbe92d54ca1ef7,"21:05 20 Apr 2018",,
64,950c8148b4c7703590bbe92d54ca1ef7,"21:36 20 Apr 2018",,
65,ca881c055839c2ae4207dedd52bde845,"22:27 20 Apr 2018",,
66,c0b6791c297c8850e2051f32e27c23d4,"2:51 21 Apr 2018",,
67,950c8148b4c7703590bbe92d54ca1ef7,"7:33 21 Apr 2018",,
68,ab920a7925a2dd9771f236412cd7babc,"8:53 21 Apr 2018",,
69,ab920a7925a2dd9771f236412cd7babc,"8:53 21 Apr 2018",,
70,950c8148b4c7703590bbe92d54ca1ef7,"10:04 21 Apr 2018",,
71,b2776c0878d9b411ea451370edb4a0c9,"10:35 21 Apr 2018",,
72,950c8148b4c7703590bbe92d54ca1ef7,"11:30 21 Apr 2018",,
73,ea3786a4d21fabdeff2d13f4e231318e,"12:22 21 Apr 2018",,
74,ea3786a4d21fabdeff2d13f4e231318e,"12:22 21 Apr 2018",,
75,950c8148b4c7703590bbe92d54ca1ef7,"14:03 21 Apr 2018",,
76,950c8148b4c7703590bbe92d54ca1ef7,"14:03 21 Apr 2018",,
77,3d3cd71af31aa64641d8cbc4b59f19a8,"18:01 21 Apr 2018",,
78,8435eb16e9db864163e2a226b0befd52,"18:02 21 Apr 2018",,
79,3d3cd71af31aa64641d8cbc4b59f19a8,"18:04 21 Apr 2018",,
80,279e24417387b61062a606b8a6a88785,"19:41 21 Apr 2018",,
81,f8126855fc3897f44262f0678617e707,"19:42 21 Apr 2018",,
82,f8126855fc3897f44262f0678617e707,"19:44 21 Apr 2018",,
83,70ed8901c35772374c7c5ad96285d3ec,"20:10 21 Apr 2018",,
84,70ed8901c35772374c7c5ad96285d3ec,"20:11 21 Apr 2018",,
85,65aeeb72619cd486b2ae13e8ccd51236,"21:49 21 Apr 2018",,
86,ff0eeb1280c0b9aa8b3af7821c1aec94,"22:01 21 Apr 2018",,
87,ff0eeb1280c0b9aa8b3af7821c1aec94,"22:02 21 Apr 2018",,
88,30d1c59b35e8556b5b3b3b673fca9754,"23:57 21 Apr 2018",,
89,c0b6791c297c8850e2051f32e27c23d4,"0:53 22 Apr 2018",,
90,2d8806d454d3015089ba4e7c8438d7dd,"4:43 22 Apr 2018",,
91,2d8806d454d3015089ba4e7c8438d7dd,"4:46 22 Apr 2018",,
92,950c8148b4c7703590bbe92d54ca1ef7,"8:14 22 Apr 2018",,
93,950c8148b4c7703590bbe92d54ca1ef7,"8:46 22 Apr 2018",,
94,950c8148b4c7703590bbe92d54ca1ef7,"10:13 22 Apr 2018",,
95,1456a97ea3e3bca4be2101f248e62726,"10:23 22 Apr 2018",,
96,1456a97ea3e3bca4be2101f248e62726,"10:26 22 Apr 2018",,
